county,state,population,latitude,longitude
Kane,IL,517254,41.9388,-88.4286
Morris,NJ,508816,40.8620,-74.5445
Clark,WA,504091,45.7792,-122.4825
Lake,IN,497682,41.4167,-87.3821
Ada,ID,497494,43.4511,-116.2412
Polk,IA,493378,41.6854,-93.5734
Richmond,NY,492925,40.5807,-74.1531
Sonoma,CA,488436,38.5290,-122.8882
Washoe,NV,486674,40.6655,-119.6643
Knox,TN,481406,35.9932,-83.9371
Prince William,VA,481114,38.7029,-77.4809
Tulare,CA,473446,36.2202,-118.8005
Onondaga,NY,472637,43.0058,-76.1946
Seminole,FL,471321,28.7170,-81.2363
Hampden,MA,464575,42.1351,-72.6316
Burlington,NJ,461853,39.8777,-74.6681
Virginia Beach,VA,457900,36.7335,-76.0435
York,PA,457051,39.9200,-76.7265
East Baton Rouge,LA,454369,30.5383,-91.0956
Naugatuck Valley,CT,451887,41.5231,-73.0860
Solano,CA,450995,38.2700,-121.9328
Santa Barbara,CA,445213,34.6729,-120.0169
Sarasota,FL,439392,27.1845,-82.3315
Dakota,MN,439179,44.6719,-93.0654
Monterey,CA,437609,36.2171,-121.2388
Jefferson,LA,436171,29.7882,-90.1276
Pinal,AZ,433338,32.9044,-111.3448
Lucas,OH,430014,41.6197,-83.6589
Berks,PA,428483,40.4163,-75.9260
Hillsborough,NH,422733,42.9153,-71.7161
Cameron,TX,421854,26.1332,-97.5186
Clackamas,OR,420925,45.1880,-122.2208
Loudoun,VA,420773,39.0907,-77.6357
Richland,SC,416161,34.0218,-80.9031
Mobile,AL,413878,30.7877,-88.2058
Charleston,SC,409840,32.8348,-79.9530
Waukesha,WI,407290,43.0182,-88.3045
Placer,CA,406608,39.0634,-120.7177
St. Charles,MO,406262,38.7820,-90.6749
Genesee,MI,405280,43.0217,-83.7067
Manatee,FL,405069,27.4719,-82.3153
Orange,NY,401237,41.4022,-74.3056
Pulaski,AR,398322,34.7700,-92.3120
Osceola,FL,393745,28.0626,-81.1495
Madison,AL,389781,34.7631,-86.5502
Butler,OH,388327,39.4386,-84.5756
Lake,FL,386829,28.7615,-81.7113
Allen,IN,385456,41.0909,-85.0666
Forsyth,NC,383739,36.1306,-80.2563
Mercer,NJ,383732,40.2834,-74.7018
Lane,OR,382218,43.9387,-122.8480
Orleans,LA,380408,30.0687,-89.9289
Collier,FL,380221,26.1108,-81.3474
Marion,FL,378225,29.2102,-82.0567
Brazoria,TX,374600,29.1898,-95.4521
Stark,OH,374199,40.8139,-81.3656
Lehigh,PA,374110,40.6127,-75.5923
Bell,TX,372821,31.0373,-97.4788
Washtenaw,MI,370231,42.2532,-83.8388
Hamilton,TN,367193,35.1808,-85.1648
Chesterfield,VA,366019,37.3785,-77.5870
Anoka,MN,363985,45.2733,-93.2465
Davis,UT,363032,40.9900,-112.1115
Douglas,CO,360206,39.3298,-104.9293
Larimer,CO,359363,40.6664,-105.4611
Horry,SC,356578,33.9214,-78.9967
Westmoreland,PA,354414,40.3109,-79.4668
Nueces,TX,353245,27.7254,-97.6134
Galveston,TX,350801,29.3944,-94.9642
Hamilton,IN,349527,40.0725,-86.0520
Marion,OR,345815,44.9033,-122.5847
