county,state,population,latitude,longitude
Marshall,AL,97923,34.3670,-86.3066
Sherburne,MN,97820,45.4440,-93.7746
Walton,GA,97752,33.7816,-83.7339
Ashtabula,OH,97666,41.7072,-80.7482
Lancaster,SC,97611,34.6867,-80.7054
Portsmouth,VA,97384,36.8453,-76.3554
Lafourche,LA,97220,29.5662,-90.4256
Franklin,WA,96692,46.5347,-118.8990
Roanoke,VA,96653,37.2693,-80.0680
Fairbanks North Star,AK,96299,64.8078,-146.5654
Rogers,OK,95870,36.3715,-95.6043
Northeastern Connecticut,CT,95687,41.8270,-71.9769
Benton,OR,95615,44.4918,-123.4293
Cape May,NJ,95456,39.1495,-74.8004
Geauga,OH,95455,41.4995,-81.1786
Grand Traverse,MI,95315,44.6687,-85.5605
Nash,NC,95015,35.9673,-77.9864
Suffolk,VA,94856,36.6953,-76.6398
Lauderdale,AL,94329,34.9014,-87.6540
Cabell,WV,93965,38.4203,-82.2417
St. Croix,WI,93752,45.0340,-92.4526
Rockdale,GA,93641,33.6543,-84.0266
Steuben,NY,93584,42.2678,-77.3838
Pottawattamie,IA,93543,41.3366,-95.5423
Liberty,TX,93523,30.1516,-94.8122
Calvert,MD,93244,38.5434,-76.5687
Campbell,KY,93122,38.9465,-84.3795
Madison,KY,92955,37.7202,-84.2780
Tuscarawas,OH,92840,40.4409,-81.4737
Bowie,TX,92747,33.4458,-94.4234
Frederick,VA,92007,39.2046,-78.2626
Ozaukee,WI,91745,43.3840,-87.9509
St. Clair,AL,91719,33.7157,-86.3146
Nassau,FL,91538,30.6107,-81.8019
Northumberland,PA,91340,40.8520,-76.7095
Wayne,NY,91324,43.1566,-77.0294
Victoria,TX,91209,28.7964,-96.9715
Rockingham,NC,91209,36.3960,-79.7750
Mendocino,CA,91145,39.4402,-123.3915
Grafton,NH,90836,43.9407,-71.8208
Twin Falls,ID,90592,42.3560,-114.6672
Christian,MO,89568,36.9696,-93.1889
Dodge,WI,89032,43.4163,-88.7075
Lapeer,MI,88687,43.0901,-83.2218
Cullman,AL,88284,34.1319,-86.8676
Josephine,OR,87994,42.3655,-123.5555
Lincoln,NC,87933,35.4856,-81.2235
Burke,NC,87799,35.7496,-81.7048
Elmore,AL,87694,32.5966,-86.1492
Polk,OR,87600,44.9035,-123.4132
Bannock,ID,87434,42.6685,-112.2246
Angelina,TX,86608,31.2548,-94.6119
Island,WA,86510,48.1630,-122.5481
Muskingum,OH,86393,39.9654,-81.9444
Jefferson,WI,85932,43.0208,-88.7759
Lawrence,PA,85907,40.9912,-80.3347
Newport,RI,85442,41.5568,-71.2363
Dougherty,GA,85038,31.5335,-84.2164
Orange,TX,84761,30.1213,-93.8939
Glynn,GA,84566,31.2309,-81.5407
Buchanan,MO,84544,39.6598,-94.8059
Cascade,MT,84423,47.3080,-111.3470
Barrow,GA,84399,33.9932,-83.7127
Wood,WV,84272,39.2112,-81.5150
Orangeburg,SC,84159,33.4390,-80.8003
Rockingham,VA,83905,38.5120,-78.8757
Crawford,PA,83876,41.6847,-80.1062
Chemung,NY,83584,42.1413,-76.7600
Midland,MI,83503,43.6468,-84.3881
Howard,IN,83452,40.4836,-86.1169
Indiana,PA,83394,40.6520,-79.0876
Lee,MS,83343,34.2899,-88.6804
Coryell,TX,82927,31.3909,-97.7993
Lewis,WA,82663,46.5778,-122.3927
Henderson,TX,82627,32.2119,-95.8536
St. Landry,LA,82574,30.5989,-92.0058
Bullitt,KY,82482,37.9701,-85.6959
Bartholomew,IN,82371,39.2060,-85.8976
Wagoner,OK,82269,35.9611,-95.5212
Payne,OK,82058,36.0773,-96.9756
Leavenworth,KS,82050,39.1993,-95.0380
Monroe,FL,82044,25.3192,-81.1089
Yuba,CA,81705,39.2690,-121.3513
Cape Girardeau,MO,81703,37.3840,-89.6845
Manitowoc,WI,81242,44.1199,-87.8097
Talladega,AL,81105,33.3801,-86.1659
Caldwell,NC,80716,35.9530,-81.5464
Kosciusko,IN,80442,41.2441,-85.8607
Floyd,IN,80191,38.3188,-85.9070
Hancock,IN,80170,39.8236,-85.7733
Putnam,TN,80157,36.1408,-85.4952
Umatilla,OR,79904,45.5919,-118.7369
Clinton,NY,79839,44.7462,-73.6782
Bulloch,GA,79829,32.3968,-81.7432
Bedford,VA,79761,37.3152,-79.5242
Clearfield,PA,79707,41.0000,-78.4742
Natrona,WY,79506,42.9622,-106.7986
Clinton,MI,79249,42.9437,-84.6015
Lynchburg,VA,79166,37.4003,-79.1909
Chelan,WA,79076,47.8692,-120.6190
James City,VA,78818,37.3289,-76.7789
Oconee,SC,78775,34.7535,-83.0659
Sullivan,NY,78725,41.7164,-74.7681
Wilson,NC,78667,35.7051,-77.9187
Forrest,MS,77917,31.1889,-89.2579
Augusta,VA,77433,38.1644,-79.1339
Anderson,TN,77337,36.1185,-84.1985
Clallam,WA,77333,48.0493,-123.9308
Walker,TX,77182,30.7390,-95.5723
White,AR,77118,35.2563,-91.7456
Jackson,GA,77033,34.1339,-83.5664
Cattaraugus,NY,77000,42.2486,-78.6788
Ross,OH,76957,39.3376,-83.0570
Cole,MO,76890,38.5054,-92.2816
Chatham,NC,76754,35.7026,-79.2553
Walton,FL,76618,30.6436,-86.1697
Valencia,NM,76613,34.7155,-106.8090
Cheshire,NH,76610,42.9193,-72.2512
Cayuga,NY,76171,42.9175,-76.5545
Grays Harbor,WA,75672,47.1503,-123.7735
Van Buren,MI,75636,42.2513,-86.0188
Erie,OH,75299,41.3641,-82.6194
Hancock,OH,75072,41.0019,-83.6665
Raleigh,WV,74303,37.7714,-81.2487
Lonoke,AR,74292,34.7543,-91.8888
Wood,WI,74138,44.4553,-90.0416
Vermilion,IL,74113,40.1834,-87.7328
Tooele,UT,74032,40.4487,-113.1311
Broomfield,CO,73946,39.9541,-105.0527
Somerset,PA,73802,39.9725,-79.0283
Scioto,OH,73716,38.8039,-82.9929
Putnam,FL,73604,29.6087,-81.7443
Kauai,HI,73511,22.0400,-159.5961
Robertson,TN,73297,36.5255,-86.8706
Fauquier,VA,73290,38.7386,-77.8092
Lea,NM,73103,32.7921,-103.4125
Grand Forks,ND,72927,47.9219,-97.4569
Christian,KY,72766,36.8941,-87.4904
Lauderdale,MS,72741,32.4043,-88.6626
Pottawatomie,OK,72734,35.2066,-96.9484
Riley,KS,72105,39.2966,-96.7352
Creek,OK,72076,35.9026,-96.3709
McKinley,NM,72073,35.5807,-108.2618
Morgan,IN,71757,39.4816,-86.4462
DeKalb,AL,71680,34.4598,-85.8041
Lewis and Clark,MT,71487,47.1224,-112.3904
Surry,NC,71429,36.4146,-80.6880
Boone,IN,71235,40.0508,-86.4687
Franklin,MA,70980,42.5831,-72.5918
Greene,TN,70399,36.1753,-82.8458
Portage,WI,70281,44.4760,-89.5014
York,VA,70238,37.2431,-76.5635
Wise,TX,70062,33.2159,-97.6545
Iberia,LA,69958,29.8967,-91.7308
Columbia,FL,69832,30.2242,-82.6215
Franklin,NC,69680,36.0828,-78.2857
Ward,ND,69532,48.2217,-101.5418
Troup,GA,69527,33.0335,-85.0284
Klamath,OR,69506,42.6864,-121.6501
Greenwood,SC,69309,34.1537,-82.1259
Harrison,TX,69098,32.5481,-94.3715
Blue Earth,MN,69022,44.0346,-94.0670
San Patricio,TX,68942,28.0092,-97.5188
Carteret,NC,68353,34.8357,-76.6589
Allegany,MD,68161,39.6214,-78.6976
Shiawassee,MI,68124,42.9537,-84.1467
Walker,GA,68065,34.7356,-85.3010
Catoosa,GA,68052,34.9036,-85.1382
Lake,CA,68024,39.1000,-122.7534
Madison,NY,68020,42.9128,-75.6696
Oldham,KY,67997,38.3994,-85.4483
Otero,NM,67850,32.6132,-105.7414
Butler,KS,67618,37.7812,-96.8390
McCracken,KY,67573,37.0540,-88.7128
Laurens,SC,67456,34.4834,-82.0057
Spalding,GA,67415,33.2609,-84.2841
Aroostook,ME,67237,46.6589,-68.5989
Rice,MN,67152,44.3543,-93.2967
Jones,MS,67152,31.6225,-89.1688
Williamson,IL,67120,37.7303,-88.9299
Jefferson,AR,66934,34.2683,-91.9304
Montcalm,MI,66901,43.3110,-85.1525
St. Francois,MO,66814,37.8102,-90.4722
Ionia,MI,66663,42.9451,-85.0746
Muskogee,OK,66606,35.6162,-95.3795
Grant,IN,66560,40.5158,-85.6547
Crow Wing,MN,66558,46.4824,-94.0709
Belmont,OH,66554,40.0158,-80.9885
Wayne,IN,66522,39.8644,-85.0098
Marquette,MI,66376,46.4313,-87.6416
Chippewa,WI,66254,45.0694,-91.2799
Wilkes,NC,66125,36.2062,-81.1630
Apache,AZ,66054,35.3955,-109.4888
Mason,WA,66053,47.3483,-123.1930
Harrison,WV,65862,39.2835,-80.3799
Lincoln,SD,65801,43.2789,-96.7218
Kershaw,SC,65779,34.3388,-80.5902
Starr,TX,65716,26.5621,-98.7387
Warren,NY,65684,43.5610,-73.8460
Sauk,WI,65664,43.4267,-89.9482
Adams,IL,65583,39.9879,-91.1885
Liberty,GA,65550,31.8282,-81.4949
Armstrong,PA,65538,40.8121,-79.4646
Tehama,CA,65484,40.1256,-122.2341
Marion,OH,65366,40.5872,-83.1609
Effingham,GA,65314,32.3674,-81.3414
Clay,MN,65307,46.8923,-96.4906
Jefferson,OH,65280,40.3850,-80.7610
Pulaski,KY,65145,37.1039,-84.5772
Carbon,PA,65018,40.9182,-75.7088
Walker,AL,64978,33.8033,-87.2973
Isabella,MI,64938,43.6406,-84.8468
Columbia,PA,64924,41.0486,-76.4052
Coos,OR,64908,43.1742,-124.0594
Salem,NJ,64840,39.5876,-75.3491
Nacogdoches,TX,64768,31.6160,-94.6159
San Benito,CA,64753,36.6057,-121.0750
Chaves,NM,64701,33.3633,-104.4669
Rutherford,NC,64680,35.4026,-81.9198
Hamblen,TN,64531,36.2171,-83.2667
Lamar,MS,64425,31.2060,-89.5087
Warrick,IN,64065,38.0922,-87.2721
Belknap,NH,63914,43.5179,-71.4227
Georgetown,SC,63594,33.4343,-79.3326
Lee,NC,63560,35.4752,-79.1715
Pope,AR,63475,35.4479,-93.0345
Union,OH,63411,40.2994,-83.3716
Darlington,SC,63025,34.3325,-79.9577
Stanly,NC,62723,35.3119,-80.2510
Knox,OH,62657,40.3988,-82.4215
Barry,MI,62581,42.5950,-85.3090
Hall,NE,62575,40.8726,-98.5022
Hood,TX,62459,32.4299,-97.8323
Garfield,OK,62456,36.3791,-97.7827
Laurel,KY,62442,37.1107,-84.1178
Haywood,NC,62152,35.5560,-82.9822
Walla Walla,WA,62150,46.2298,-118.4784
Livingston,NY,61980,42.7281,-77.7755
Reno,KS,61881,37.9530,-98.0860
Garfield,CO,61683,39.5993,-107.9039
Pender,NC,61592,34.5249,-77.9052
Cumberland,TN,61552,35.9504,-84.9984
Columbia,NY,61469,42.2501,-73.6318
Washington,NY,61310,43.3137,-73.4308
Athens,OH,61276,39.3339,-82.0452
Eddy,NM,61264,32.4714,-104.3044
Granville,NC,61161,36.3040,-78.6527
Tipton,TN,61116,35.4973,-89.7566
St. Joseph,MI,60887,41.9144,-85.5278
Crawford,AR,60593,35.5881,-94.2428
Rutland,VT,60585,43.5801,-73.0364
Pittsylvania,VA,60541,36.8213,-79.3971
Herkimer,NY,60293,43.4192,-74.9624
Lincoln,MO,60172,39.0580,-90.9600
Bradford,PA,60159,41.7887,-76.5154
Otter Tail,MN,60072,46.4088,-95.7080
Van Zandt,TX,60053,32.5637,-95.8365
Washington,VT,59768,44.2736,-72.6148
Otsego,NY,59678,42.6338,-75.0326
Washington,OH,59639,39.4553,-81.4953
Mercer,WV,59530,37.4055,-81.1114
Lyon,NV,59435,39.0206,-119.1890
Sampson,NC,59317,34.9916,-78.3714
Kenai Peninsula,AK,59235,60.2654,-151.5651
Blount,AL,59077,33.9809,-86.5674
Newton,MO,59019,36.9055,-94.3393
Pike,PA,58996,41.3320,-75.0338
Sandusky,OH,58885,41.3562,-83.1464
Russell,AL,58849,32.2884,-85.1849
Pickaway,OH,58809,39.6419,-83.0244
Autauga,AL,58761,32.5349,-86.6427
Lowndes,MS,58547,33.4729,-88.4433
Huron,OH,58518,41.1463,-82.5980
Box Elder,UT,58291,41.5210,-113.0821
Oxford,ME,58276,44.4999,-70.7566
Columbia,WI,58272,43.4666,-89.3337
Carson City,NV,58249,39.1511,-119.7476
Genesee,NY,58204,43.0009,-78.1937
Pike,KY,58196,37.4691,-82.3958
Coffee,TN,58080,35.4906,-86.0748
Anderson,TX,58077,31.8133,-95.6525
Iron,UT,58068,37.8592,-113.2895
Jefferson,WV,58043,39.3076,-77.8628
Lawrence,OH,57994,38.5984,-82.5368
Windsor,VT,57832,43.5799,-72.5862
Maverick,TX,57806,28.7426,-100.3145
Gordon,GA,57785,34.5032,-84.8759
Acadia,LA,57674,30.2906,-92.4120
Waller,TX,57463,30.0108,-95.9876
Putnam,WV,57347,38.5086,-81.9090
Scott,KY,57286,38.2916,-84.5839
Colbert,AL,57270,34.7005,-87.8049
Vermilion,LA,57202,29.8465,-92.3242
Hawkins,TN,57107,36.4412,-82.9447
Chisago,MN,56927,45.5025,-92.9083
Hardin,TX,56576,30.3324,-94.3902
Pearl River,MS,56351,30.7688,-89.5896
Carter,TN,56315,36.2928,-82.1275
Taney,MO,56202,36.6548,-93.0411
Cherokee,SC,56200,35.0481,-81.6206
Marion,WV,56194,39.5100,-80.2434
Lafayette,MS,56172,34.3568,-89.4850
La Plata,CO,55983,37.2866,-107.8433
Hancock,ME,55851,44.6648,-68.3583
Eagle,CO,55650,39.6278,-106.6953
Whiteside,IL,55569,41.7562,-89.9141
Campbell,VA,55518,37.2053,-79.0966
Loudon,TN,55507,35.7348,-84.3119
Grady,OK,55314,35.0169,-97.8841
Camden,GA,55105,30.9306,-81.6699
Lenoir,NC,55071,35.2388,-77.6413
Seneca,OH,55062,41.1239,-83.1277
Jefferson,TN,55017,36.0510,-83.4463
Tuolumne,CA,54993,38.0276,-119.9548
Franklin,VA,54838,36.9920,-79.8811
Dickson,TN,54563,36.1490,-87.3567
Watauga,NC,54540,36.2311,-81.6964
Saline,KS,54160,38.7838,-97.6500
Johnson,MO,54025,38.7441,-93.8064
Washington,VA,53985,36.7244,-81.9598
Roane,TN,53777,35.8479,-84.5232
Pulaski,MO,53726,37.8246,-92.2076
Elko,NV,53600,41.1458,-115.3577
Coffee,AL,53559,31.4027,-85.9882
McMinn,TN,53532,35.4248,-84.6175
Boone,IL,53459,42.3231,-88.8234
Gila,AZ,53419,33.7997,-110.8116
Jessamine,KY,53381,37.8720,-84.5809
Fulton,NY,53280,43.1138,-74.4222
Tuscola,MI,53218,43.4641,-83.4167
Jackson,IL,53176,37.7851,-89.3821
Columbia,OR,52865,45.9438,-123.0883
Navarro,TX,52834,32.0470,-96.4725
Worcester,MD,52827,38.2128,-75.3340
Culpeper,VA,52822,38.4860,-77.9558
Kerr,TX,52810,30.0615,-99.3500
Rusk,TX,52755,32.1077,-94.7618
Warren,IA,52709,41.3343,-93.5615
Grundy,IL,52624,41.2851,-88.4185
Jackson,AL,52618,34.7795,-85.9994
Hoke,NC,52612,35.0175,-79.2373
Washington,OK,52579,36.7152,-95.9044
Ashland,OH,52522,40.8460,-82.2707
Madison,ID,52487,43.7841,-111.6592
Calumet,WI,52361,44.0816,-88.2181
St. Charles,LA,52191,29.9055,-90.3582
St. Martin,LA,51856,30.1291,-91.6083
Grant,WI,51842,42.8675,-90.7062
Waupaca,WI,51822,44.4705,-88.9648
Harrisonburg,VA,51784,38.4362,-78.8735
Darke,OH,51751,40.1333,-84.6194
Nye,NV,51698,38.0422,-116.4719
Ogle,IL,51672,42.0426,-89.3207
Cass,MI,51604,41.9154,-85.9935
Franklin,KY,51475,38.2391,-84.8771
Medina,TX,51432,29.3557,-99.1101
Oktibbeha,MS,51388,33.4250,-88.8793
Wayne,PA,51227,41.6487,-75.3033
Columbus,NC,50827,34.2657,-78.6550
Cherokee,TX,50824,31.8370,-95.1652
Henry,VA,50760,36.6828,-79.8740
Dearborn,IN,50709,39.1452,-84.9732
Carroll,NH,50679,43.8738,-71.2031
Bristol,RI,50658,41.7173,-71.2840
Somerset,ME,50656,45.5139,-69.9589
Polk,TX,50536,30.7927,-94.8300
Bedford,TN,50533,35.5138,-86.4589
Venango,PA,50475,41.4010,-79.7580
Gibson,TN,50455,35.9966,-88.9326
Wilson,TX,50381,29.1740,-98.0866
Lincoln,OR,50334,44.6420,-123.8682
Queen Anne's,MD,50316,39.0680,-76.0202
Lamar,TX,50149,33.6672,-95.5712
Newaygo,MI,50130,43.5542,-85.8009
Buffalo,NE,50103,40.8552,-99.0750
Franklin,VT,50101,44.8576,-72.9131
Logan,OK,49919,35.9193,-97.4433
Winona,MN,49792,43.9869,-91.7792
Knox,IL,49751,40.9318,-90.2132
Burnet,TX,49684,30.7884,-98.1823
Montgomery,NY,49624,42.9023,-74.4397
Douglas,NV,49476,38.9123,-119.6162
Dale,AL,49455,31.4318,-85.6110
Laurens,GA,49407,32.4636,-82.9222
Atascosa,TX,49403,28.8935,-98.5272
Duplin,NC,49312,34.9365,-77.9330
Henry,IL,49157,41.3531,-90.1314
St. Mary,LA,49114,29.7207,-91.4486
Fremont,CO,49107,38.4731,-105.4395
Edgecombe,NC,49067,35.9129,-77.5971
Henry,IN,48913,39.9311,-85.3964
Halifax,NC,48772,36.2574,-77.6517
Le Flore,OK,48525,34.9003,-94.7034
Vernon,LA,48452,31.1083,-93.1843
Tioga,NY,48344,42.1703,-76.3063
Curry,NM,48327,34.5742,-103.3470
Lincoln,LA,48323,32.6016,-92.6649
Bingham,ID,48253,43.2166,-112.3981
Boyd,KY,48242,38.3596,-82.6878
Carter,OK,48202,34.2509,-97.2858
Shelby,OH,48145,40.3316,-84.2048
Shelby,KY,48105,38.2155,-85.1948
Greene,NY,48067,42.2765,-74.1227
Bonner,ID,47976,48.3000,-116.6011
Crittenden,AR,47945,35.2057,-90.3078
Santa Cruz,AZ,47838,31.5259,-110.8465
Jackson,FL,47704,30.7954,-85.2155
Goodhue,MN,47697,44.4097,-92.7229
Val Verde,TX,47693,29.8929,-101.1517
Bedford,PA,47613,40.0065,-78.4903
Franklin,NY,47459,44.5929,-74.3038
Noble,IN,47431,41.3986,-85.4175
Cherokee,OK,47412,35.9067,-94.9997
Allegany,NY,47222,42.2574,-78.0276
Whitman,WA,47141,46.9012,-117.5230
Chenango,NY,47096,42.4935,-75.6116
Coles,IL,47076,39.5203,-88.2217
Chambers,TX,47037,29.7384,-94.6100
Campbell,WY,46857,44.2482,-105.5482
Nelson,KY,46779,37.8052,-85.4660
Stevens,WA,46774,48.3991,-117.8552
Cortland,NY,46755,42.5950,-76.0703
Barron,WI,46683,45.4237,-91.8483
Bryan,OK,46528,33.9623,-96.2598
Monroe,TN,46489,35.4427,-84.2527
Clinton,IA,46488,41.8980,-90.5320
Habersham,GA,46326,34.6310,-83.5311
Charlottesville,VA,46289,38.0375,-78.4855
Beltrami,MN,46274,47.9738,-94.9377
Auglaize,OH,46263,40.5609,-84.2217
Jackson,IN,46212,38.9064,-86.0375
Monroe,WI,46208,43.9457,-90.6178
Marshall,IN,46208,41.3248,-86.2618
Mifflin,PA,46146,40.6104,-77.6170
Caldwell,TX,46141,29.8368,-97.6199
Logan,OH,46098,40.3885,-83.7658
Hancock,MS,46010,30.4165,-89.4890
Osage,OK,46004,36.6292,-96.3985
Greene,AR,45954,36.1175,-90.5589
Perry,PA,45941,40.3984,-77.2623
Windham,VT,45857,42.9906,-72.7139
Colquitt,GA,45813,31.1884,-83.7688
Hillsdale,MI,45698,41.8878,-84.5929
Calaveras,CA,45674,38.2046,-120.5541
Thomas,GA,45665,30.8637,-83.9193
Washington,LA,45514,30.8533,-90.0405
Kendall,TX,45376,29.9447,-98.7115
Wood,TX,45341,32.7864,-95.3821
Hopkins,KY,45223,37.3088,-87.5408
Dunn,WI,45221,44.9466,-91.8964
Chilton,AL,45140,32.8479,-86.7188
Polk,WI,45128,45.4614,-92.4414
Lawrence,IN,45113,38.8412,-86.4835
Itasca,MN,45054,47.5095,-93.6319
Bryan,GA,44995,32.0145,-81.4436
Shelby,IN,44940,39.5237,-85.7917
Macoupin,IL,44907,39.2610,-89.9245
Ravalli,MT,44876,46.0817,-114.1207
Phelps,MO,44843,37.8772,-91.7923
Branch,MI,44795,41.9161,-85.0590
Henderson,KY,44770,37.7958,-87.5729
Beaufort,NC,44711,35.4940,-76.8598
Stokes,NC,44696,36.4019,-80.2397
Delaware,NY,44637,42.1981,-74.9665
McDowell,NC,44629,35.6817,-82.0493
Washington,MS,44604,33.2839,-90.9474
Callaway,MO,44517,38.8355,-91.9260
Barren,KY,44511,36.9656,-85.9337
Stephenson,IL,44482,42.3518,-89.6623
Kittitas,WA,44424,47.1244,-120.6798
Lawrence,TN,44377,35.2173,-87.3956
Warren,MS,44341,32.3573,-90.8520
Shenandoah,VA,44337,38.8583,-78.5708
Jefferson,PA,44326,41.1282,-78.9994
Holmes,OH,44273,40.5612,-81.9293
Huntingdon,PA,44123,40.4169,-77.9812
Douglas,WI,44092,46.4329,-91.9162
Siskiyou,CA,44049,41.5927,-122.5404
St. Bernard,LA,44038,29.8691,-89.5549
Madison,OH,43961,39.8942,-83.4005
Suwannee,FL,43881,30.1956,-82.9915
Kay,OK,43859,36.8180,-97.1439
Baldwin,GA,43778,33.0693,-83.2495
Pittsburg,OK,43758,34.9239,-95.7484
Gadsden,FL,43746,30.5795,-84.6136
Brown,OH,43715,38.9338,-83.8673
Kandiyohi,MN,43686,45.1524,-95.0047
Dubois,IN,43584,38.3643,-86.8798
Chesterfield,SC,43536,34.6398,-80.1587
Sullivan,NH,43356,43.3613,-72.2221
DeKalb,IN,43312,41.3976,-84.9991
Highland,OH,43285,39.1847,-83.6010
Levy,FL,43268,29.3184,-82.7434
Camden,MO,43227,38.0270,-92.7660
Douglas,WA,43189,47.7361,-119.6918
Richmond,NC,43149,35.0059,-79.7479
Stephens,OK,43140,34.4856,-97.8515
Pettis,MO,43059,38.7283,-93.2851
Coffee,GA,43056,31.5493,-82.8492
Davie,NC,43030,35.9291,-80.5445
Polk,GA,43019,34.0018,-85.1881
Franklin,TN,42980,35.1551,-86.0922
Cerro Gordo,IA,42979,43.0816,-93.2608
Muscatine,IA,42968,41.4839,-91.1127
Union,PA,42908,40.9630,-77.0622
Montrose,CO,42823,38.4022,-108.2693
Erath,TX,42788,32.2363,-98.2179
Miller,AR,42682,33.3124,-93.8921
Prince George,VA,42634,37.1865,-77.2242
Manassas,VA,42620,38.7479,-77.4838
Fulton,OH,42602,41.6018,-84.1301
Summit,UT,42524,40.8683,-110.9557
Danville,VA,42507,36.5831,-79.4088
Vance,NC,42492,36.3649,-78.4079
McClain,OK,42393,35.0093,-97.4443
Jackson,NC,42388,35.2876,-83.1408
Okanogan,WA,42336,48.5488,-119.7408
Mercer,OH,42321,40.5399,-84.6294
Butler,MO,42280,36.7164,-90.4066
Fayette,TN,42228,35.1971,-89.4144
Ohio,WV,42224,40.0969,-80.6189
Nez Perce,ID,42200,46.3268,-116.7502
Pierce,WI,42187,44.7194,-92.4224
Sweetwater,WY,42079,41.6595,-108.8796
Clinton,OH,42077,39.4149,-83.8084
St. John the Baptist,LA,41986,30.1264,-90.4709
Oconee,GA,41978,33.8350,-83.4371
Crawford,OH,41861,40.8508,-82.9198
Cooke,TX,41860,33.6393,-97.2126
Marinette,WI,41827,45.3834,-88.0337
Baxter,AR,41801,36.2872,-92.3369
Wharton,TX,41614,29.2779,-96.2221
Gratiot,MI,41534,43.2927,-84.6049
Benton,MN,41300,45.6991,-93.9988
Upshur,TX,41261,32.7363,-94.9415
Isanti,MN,41257,45.5615,-93.2951
Tallapoosa,AL,41251,32.8624,-85.7975
Tift,GA,41247,31.4574,-83.5266
Clatsop,OR,41190,45.9950,-123.6557
Tioga,PA,41186,41.7722,-77.2543
Cheatham,TN,41184,36.2611,-87.0868
Warren,TN,41163,35.6787,-85.7785
Preble,OH,40929,39.7415,-84.6480
Shawano,WI,40848,44.7892,-88.7654
Warren,VA,40800,38.9087,-78.2085
Delaware,OK,40791,36.4082,-94.8026
Sanilac,MI,40759,43.4236,-82.8203
Knox,ME,40729,44.1410,-69.1686
Amador,CA,40577,38.4464,-120.6511
Fayette,WV,40545,38.0288,-81.0811
McKean,PA,40459,41.8076,-78.5690
Pasquotank,NC,40454,36.2955,-76.2843
Tazewell,VA,40392,37.1250,-81.5606
Ottawa,OH,40367,41.5379,-83.1435
LaGrange,IN,40364,41.6426,-85.4265
Mississippi,AR,40361,35.7624,-90.0522
Wyoming,NY,40338,42.7024,-78.2245
Rio Arriba,NM,40285,36.5096,-106.6931
Orleans,NY,40148,43.2521,-78.2312
Mecosta,MI,40128,43.6408,-85.3246
Pike,MS,40098,31.1749,-90.4042
Mower,MN,40082,43.6715,-92.7525
Murray,GA,40063,34.7884,-84.7481
Marshall,IA,40049,42.0358,-92.9988
Howell,MO,39960,36.7740,-91.8865
Hendry,FL,39902,26.5535,-81.1659
Latah,ID,39872,46.8162,-116.7117
Okeechobee,FL,39870,27.3864,-80.8886
Snyder,PA,39797,40.7698,-77.0702
Waldo,ME,39772,44.5028,-69.1454
Harrison,IN,39684,38.1951,-86.1114
Sequoyah,OK,39538,35.4953,-94.7552
Avoyelles,LA,39529,31.0763,-92.0014
Fremont,WY,39402,43.0405,-108.6304
Campbell,TN,39397,36.4035,-84.1494
Mayes,OK,39324,36.3019,-95.2307
Webster,MO,39265,37.2809,-92.8759
Person,NC,39131,36.3900,-78.9718
Douglas,MN,39081,45.9338,-95.4535
Williams,ND,39076,48.3437,-103.4802
Jim Wells,TX,39060,27.7314,-98.0899
Oconto,WI,39048,45.0264,-88.2697
Crawford,KS,39012,37.5073,-94.8518
Wayne,WV,38933,38.1459,-82.4270
Isle of Wight,VA,38898,36.8912,-76.7259
Gloucester,VA,38875,37.4160,-76.5434
Des Moines,IA,38824,40.9232,-91.1815
Union,AR,38815,33.1713,-92.5972
Champaign,OH,38715,40.1377,-83.7696
Colleton,SC,38561,32.8637,-80.6670
Susquehanna,PA,38540,41.8214,-75.8007
Warren,PA,38492,41.8145,-79.2741
Graham,AZ,38453,32.9326,-109.8875
Woodford,IL,38414,40.7883,-89.2113
Guernsey,OH,38409,40.0520,-81.4943
Dallas,AL,38326,32.3260,-87.1065
Defiance,OH,38300,41.3239,-84.4905
Brown,SD,38278,45.5898,-98.3516
Lawrence,MO,38231,37.1064,-93.8330
Finney,KS,38187,38.0443,-100.7370
Brown,TX,38159,31.7742,-98.9998
Pontotoc,OK,38116,34.7280,-96.6844
Louisa,VA,38106,37.9786,-77.9630
Scott,MO,38055,37.0530,-89.5686
Montgomery,IN,38018,40.0404,-86.8933
Newberry,SC,37918,34.2898,-81.6001
Independence,AR,37910,35.7416,-91.5697
Clinton,PA,37860,41.2340,-77.6385
Cass,IN,37820,40.7615,-86.3460
Franklin,IL,37810,37.9923,-88.9242
Jasper,IA,37808,41.6860,-93.0538
Oneida,WI,37799,45.7056,-89.5218
Talbot,MD,37663,38.7714,-76.0971
Boone,AR,37662,36.3086,-93.0915
Marion,IL,37543,38.6496,-88.9190
Covington,AL,37542,31.2485,-86.4513
Albany,WY,37525,41.6545,-105.7238
Clarion,PA,37489,41.1924,-79.4210
Natchitoches,LA,37478,31.7234,-93.0962
Addison,VT,37434,44.0309,-73.1408
Houghton,MI,37414,46.8976,-88.6875
Steele,MN,37396,44.0223,-93.2261
Calloway,KY,37345,36.6210,-88.2723
Bennington,VT,37326,43.0354,-73.0932
Essex,NY,37314,44.1172,-73.7726
Yadkin,NC,37280,36.1605,-80.6652
Dodge,NE,37175,41.5779,-96.6540
Dare,NC,37160,35.7824,-75.7988
Macon,NC,37088,35.1505,-83.4222
Green,WI,37066,42.6800,-89.6022
