true,prot,deut,trit
C3F18E,F8E288,FFDCB9,D3E4F6
B7DD3A,E8CE39,FFC45D,C9CDDD
98F4A6,F1DE9C,FFD7B9,ABE8FB
2B8E90,807F87,827D95,348B97
3BB5F8,92A7EF,82A9FC,00BCCA
9FF89D,F7E294,FFDCBF,B3EBFE
83490F,63581A,705312,85454A
E85441,928552,A77E39,E85257
E33236,83774C,97722C,E23637
C3A5A1,AFA9A2,C0A49F,C4A1AE
97A219,AD991D,C29128,A395A1
851CC1,0055B1,005A9A,6E5057
52F554,F0D64D,FFCE8A,83E4F7
BA5D1E,857629,96701C,BB575D
ED7E62,A99C6D,BF955C,EF7981
B49004,A6930E,BB8B11,BB848E
A54A53,6A6660,7A624E,A34C51
32971F,938320,A47C31,538B96
3EC2F3,A4B1E8,9BB1F9,1FC6D6
B56958,857C60,967755,B5666D
4C9B85,928B7D,9B878A,5895A1
AEE020,E9CE21,FFC55D,C3CFDF
8FFB3A,FDE036,FFDAAB,AFE9FC
C2790C,9A8918,AE8109,C67078
440BE6,004B9A,005083,00555A
6A270A,463F17,503B0C,6B292B
1C3060,1E3461,06365F,003B40
4BE1A8,D5C79C,E4C0B1,6AD7E8
2D6573,5B5D6E,5A5C76,2F666E
99FC09,FFE232,FFDDAF,B8EAFC
60D949,D6BF44,EEB558,83CADA
2F4B47,494746,4D454B,354B51
E2EC1C,FFE22D,FFDCAF,F4DBEB
67E952,E6CD4C,FFC362,8CD9EA
120B90,002D5D,00304F,003436
4189C2,6F81BB,6382C3,288F9B
A4F4A9,F3E0A0,FFDABE,B5E9FB
7DD8F9,C2C9F0,C3C7FF,76D9EB
D71250,6E6D6F,856845,D42726
574A14,554C1B,60481C,5C464C
D76C3C,988947,AC8238,D9666D
0E04F3,004894,004D7E,005356
CF6117,908024,A3790E,D15B61
769807,9E8B0B,B18420,848C97
5744F6,0061C9,0067AC,006F77
AB4B32,72683E,82632F,AB494E
21E347,DCC441,F4BA59,69D3E4
6C9EC0,8E95BA,8E94C2,65A0AD
4B90B0,7E85A8,7B85B2,44929D
A95AEC,177BFF,2D81DD,917983
3A6A5B,656157,6C5E5F,43676F
A554CC,2D73E6,4A77BF,946D75
591422,333131,3C3023,591D1E
EE7AA4,999CB6,AF999A,EB7E87
45EF88,E6D17D,FBC894,73E1F3
43801F,807121,8E6B2D,567680
C97DB3,8893C0,9891AB,C3838D
E242B7,5881E1,7F82A7,D95D63
D244B9,4C7BE0,727DA9,C75E65
1F10D0,004185,004571,004A4D
696998,5E6B98,5F6C96,616F78
ABE1F9,D3D6F3,DBD3FE,A8E1F3
D950DB,4585FF,6C88CA,CA6F77
591211,35301F,3D2E14,5A191A
7A0B2A,403E3E,4C3C28,781919
F03E80,7D83A1,987F73,EC4C50
B762DE,4282F9,5A86D1,A57A84
B5F80F,FFE343,FFDDB2,CEE6F8
B99EA6,A5A2A8,B39EA4,B89CA8
A5D30A,DCC20A,F6B82B,B8C3D2
AE7E7B,8D887F,9D8478,AE7B85
F514A9,537FE2,857F96,ED4649
CEB9DA,B9BDDC,C6BAD8,CABAC9
901424,4F4A37,5C4621,8E1D1D
EAE394,F3DF92,FFD9B3,F5D7E8
ED2D42,857B5B,9A7537,EC3435
75B02A,B39F2A,C79639,88A2AF
69E517,E4C915,FFBE38,8ED4E5
C7B020,C5AF25,DDA52A,D1A2AF
90F1F9,E0DFEF,E7DBFF,9CEEFF
0FFCA5,EFDC97,FFD4B5,77EEFF
855766,63636C,6E6163,83595F
00FD73,F4DB68,FFD4A2,72EDFF
86056A,15468E,42475F,7F2B2E
96A68C,A89F88,B69A8E,9BA0AC
D17664,988D6E,AB875F,D2727A
6B8D17,92811B,A37A27,79828C
D6E09A,EBD996,FFD1A4,E0D5E6
4C8DD2,6F86CC,6088D2,2E96A2
A70937,575450,675031,A41C1B
018CAF,757EA5,6D7EB3,008D98
CBA60A,BFA914,D69F18,D499A4
256CB6,4A68B1,2D6BB5,00757E
221455,00254C,002741,14292C
FCE55C,FEE35C,FFDEB6,FFDAE5
880B08,4C441A,574100,871311
47D27D,CAB873,DCB087,6AC6D6
7ADD84,D9C67B,EEBE8D,91D0E1
FD40A1,778BCA,998991,F8555A
10E5F9,CACDEB,C8CBFF,10E5F7
CEA259,B9A85C,CFA05A,D498A3
E2C418,DDC41F,F9B925,EEB5C3
E43594,677CBB,877A85,DE4C50
2D0B40,002144,00223C,2A1F21
4FB83F,B5A13C,C8994C,6DAAB8
221E97,00366F,00395F,003E41
C032AB,326DD4,616F9B,B55156
ED70A2,9197B7,A89397,E9767F
55A9E1,8E9ED9,849EE4,41AEBC
6764F6,0073EF,007AD0,2C828C
24513B,4F4A3A,554741,304F55
43E03B,DBC237,F4B84F,75D0E0
82CA55,CBB650,E1AD5F,97BCCB
3D5212,564D18,60491D,474D53
FB76BE,93A1D8,AC9EB2,F58089
C4468A,6573A4,7C727F,BE5359
A76ED4,5983E4,6385CA,977F89
394A9A,214F9C,005390,175961
2DD8F7,BCC3EA,B7C1FF,1ED9EB
FC4ECC,6691FA,8F92BA,F36970
B139AD,2B69D1,576C9E,A5555B
6C886B,887F67,937B6E,72828C
088F29,8A7B28,997437,40848F
297AF3,2E79F3,0080DC,008B93
F1ED55,FFE776,FFE2BF,FFDEED
58DB39,D8C035,F0B64C,7FCBDB
B63D77,5F698F,74676D,B1494E
367664,6F6A5F,766769,41727B
430ABC,004083,004470,00494D
5763C9,3069CD,006EC0,34757F
D6918A,A8A091,BB9B86,D78D98
07B50B,AF9B09,C4922C,52A7B4
02C1B8,AEAAAB,B3A7C0,2EBCCB
D0BD40,D1BB42,EBB146,DBAFBD
625DF4,006EE5,0075C6,1A7D87
4C3C09,484012,513D12,513A3F
D9A930,C4AF35,DDA534,E19CA8
ABF0BF,EDDFB6,FFD7C6,B7E7F9
BB11A8,0064D1,546796,AF4549
9B6B54,7E7559,8D7053,9C676F
C54502,7E7015,8E6A00,C54245
ED409E,6F84C5,8F828F,E7555A
43BDED,A0ADE3,98ADF2,2BC1D0
F83D93,7987BA,998484,F35054
106772,5B5D6B,5A5C76,15676F
AE412F,6F653D,7E602B,AD4144
F45CF6,6E98FF,7B9AE4,E57E87
5E6CB2,546EB2,4C70AF,4D7680
C6F904,FFE771,FFE2BD,DDE7F9
E2DAEA,DCDBEA,EBD6EA,E1D9EA
458B14,8A7A17,9A7427,5B808A
1355C5,0059BA,005FA0,00666C
F9CCBF,DDD4C2,F3CDBD,FCC7D6
C5C838,D8C039,F2B642,D2B9C7
0C108A,002C5B,002F4E,003335
A13DD4,006ADD,1270C2,8C636B
2224D7,004793,004C7D,005256
6B10BF,004B9B,005085,4C4D53
46BB82,B2A578,C09F8A,60B1BF
28D1AC,C2B89F,CCB2B5,4DC9D9
335CCC,0060C9,0066AE,006F76
BB26B6,0069DB,516CA4,AE5055
87601C,746723,826221,8A5A61
057DFA,297BF9,0082DF,008D95
0BF826,F1D622,FFCD83,71E6F8
21FDD6,EBE0C7,F6D9E2,8BF0FF
B9F573,FCE26D,FFDDB7,CDE6F8
76FD1C,FCDF19,FFD9A6,9FEBFD
144CD6,0057B5,005D9B,006469
F7B405,D8BF13,F3B409,FFA6B2
647EC8,637DC7,5980C6,508893
EB9CC6,ABB1D2,BEADBF,E79FAB
E668DF,6995FF,8596D0,DA7E88
DFB5F9,B2C1FF,BCBFF5,D6BCCB
858585,868384,918085,86838D
207B00,786A00,87641B,41717A
110295,002D5C,00304E,003335
2D8110,7F7013,8D6A24,497780
F2F20B,FFEA8E,FFE6C7,FFE2F0
213914,3C3619,43341E,2C383C
6E1D03,443C10,4D3900,6E2022
24DD09,D7BE00,F1B434,6ACCDC
41FA4E,F4D947,FFD295,7DE9FB
797979,7A7878,847479,7A7780
A6D1E3,C6C8DD,CFC4E6,A4D0E1
E7EAFD,E9E9FD,F8E4FF,E6EAFC
481F86,003A77,003D67,353D41
D2CEEA,CBCEEA,D8CAEA,CFCFDF
035E90,47588A,375A91,00636A
3EDB61,D4BF59,EAB66E,6DCCDD
10A15E,988B57,A68567,4297A3
99921E,A08E23,B48629,A28791
F574C3,8C9EDD,A59CB7,EE8089
90E87D,E8D275,FFC886,A6DAEB
DA2399,5174C7,797389,D34549
FAA333,CBB53B,E5AB32,FF98A2
15937D,878174,8E7D83,338D99
3AFE63,F7DD5A,FFD6A4,81EDFF
894244,5C584E,695442,884448
50275B,243967,2D3A57,4B3438
23275C,0D2F60,003155,163539
419044,8D7F41,9B794D,578691
64B30E,B39F0F,C9962A,7CA5B2
26A88C,9B9482,A48F93,41A1AE
9CD469,D8C364,EFBA71,ADC6D6
2C2571,003369,00365B,14393E
8933F0,0065D1,006BB5,646971
9E1DD9,0062CB,0068B2,855A60
9E9E9E,9F9C9C,AC989E,9E9BA7
C0EC0F,F8DB10,FFD497,D5DAEB
1E3DFE,005AB9,00609E,00676C
58DA32,D7BF2F,F0B547,7FCADA
BB7B9E,878CA7,968998,B77E88
5082CF,627ECB,5181CE,318D98
BBA637,B9A53A,CF9C3D,C49AA5
26BAAC,AAA4A0,AFA1B3,3EB5C3
A7CB3E,D4BD3D,EDB34A,B7BCCB
4CC87D,C0B074,D1A986,6ABDCC
2C082C,0A1D3A,171E2C,2D1819
EA9FAE,B4B1B7,C8ACA8,E99EAA
E0721C,A18F28,B68715,E36A71
0121E6,004996,004E80,005357
089C7F,908875,988486,3395A1
9025BA,005ABA,005EA4,7D5157
A6E58E,E7D387,FDCA95,B6D9EA
9A997B,9F9679,AE907C,9E939E
0816D7,004289,004774,004C4F
43985B,938655,A08163,588F9A
2B70B5,516BB0,3B6EB4,007982
E454D6,538BFF,7B8DC5,D87078
4AEF75,E8D16B,FFC782,79E0F2
2F4A0D,4D4513,564119,3B464C
F4B84D,D8C151,F2B74E,FCABB8
A40832,56524A,664E2C,A21A18
BA5DE5,3681FF,5186D6,A77982
DDAC0B,C9B215,E2A816,E69EAA
BF0D13,6A5F28,795A00,BD1611
8BE7A8,E2D29E,F4CAB0,9CDDEE
561790,003D7E,00416D,433D42
49A17C,998F74,A48B82,599AA6
3D4F23,534B26,5C472B,464B51
C01C34,69624B,7B5E2C,BE2525
B9738A,858593,958284,B6747D
5E68FA,0074F2,007BD2,008590
48DAB6,CCC2A9,D7BCBF,61D2E3
A4F7D9,EFE5CF,FFDEE0,B8EFFF
B847F2,007AFD,1480DF,A0727A
F155B9,738EDD,928DAA,E9686F
DEC850,DEC651,F8BC55,E9BAC8
1F84CA,627BC3,4C7ECB,008B95
57870C,897910,997321,677C86
2CF5C9,E4D8BA,F1D2D4,5DECFF
D42DCA,0077F8,5F7AB6,C6595F
CC7121,98872B,AC801F,CF6970
C5CCFB,C2CBFB,CAC9FC,BED0E0
521DD2,004B9B,005085,00565C
B61FAD,0065D2,50689B,AA4A4F
002BE1,004B9A,004F83,005559
6CF636,F4D832,FFD18F,95E4F7
D282E5,7B9CF9,8A9DDB,C5919D
503986,16468F,164A7F,424A50
4C20DD,004EA0,005288,00595E
3F6D16,6E621A,7B5D24,4F656D
2A942C,90802B,A0793A,4D8994
5ADF42,DBC33D,F4B953,81CFDF
ED4ACA,588AF7,838BB9,E2676E
0380DC,517AD6,1C7EDB,008A93
F8393A,908350,A67D2E,F83C3D
418F0F,8E7D12,9E7725,5A848E
7ABEC8,B1B0C0,B6ADCC,7BBCCB
94B0F6,99ADF5,96AEF6,84B8C6
D82F71,6D7391,867065,D43F42
1814AB,003771,003A60,003F42
897A8F,7B7D90,837B8D,867B84
1D6233,5F5632,68533B,335D64
2DB1AC,A09DA1,A49AB2,3DADBB
72895E,8B815B,997C62,79828C
3F43A4,004DA1,00528B,16585F
FA50A3,7F8FC6,9D8C94,F56066
22F301,EDD100,FFC86E,73E1F3
16F76A,EED660,FFCD8F,6CE7FA
13F9EE,E2DDDF,E8D9F9,7EF0FF
EBE004,F8DB08,FFD495,FACFDF
DB1DF6,237EFF,3783DD,C6656C
619E6D,9B8F67,A88973,6E96A1
421BCF,004793,004C7D,005156
266C0E,6B5E12,77591F,3E646C
24AF8C,A39981,AC9593,44A8B5
A64E31,72683C,81632F,A64C51
124AD2,0055B1,005B98,006267
B2CA6B,D3BF67,EAB671,BFBDCC
6C4B62,525567,5A5460,6A4F55
DA2CD4,067AFF,5E7EBF,CB5C63
3DF979,F1D96E,FFD19D,76EAFD
772BB8,0053AC,005896,605258
A8FE1D,FFE66B,FFE1BC,C5ECFE
F42C48,887F63,9E793C,F33435
34A637,A19034,B38945,589AA6
796A4C,746B4E,80674E,7C656D
DA13C0,0074F2,6477AC,CE4E53
55B8E5,9EAADC,98A9E9,46BBCA
4CB036,AD9A34,C09244,69A3B0
67AD9E,A49E96,AD9AA3,6EA8B5
A56007,7F7014,8F6A00,A75960
F1B025,D2BA2C,EDB029,F9A2AF
B097A2,9D9BA4,AA97A0,AF96A1
1F671A,655A1D,705527,386067
2A7898,666E90,616E9A,1F7B84
66AFC6,9EA2BE,A0A0CA,63AFBD
0EC41D,BEA81C,D49F37,59B5C3
239323,8F7F23,9F7833,4A8892
27430F,463E15,4E3B1A,334045
77933C,98883C,A98244,828993
8F30B5,005CBE,1D60A5,7E5359
0CBAF1,99A9E5,8BAAF7,00BDCC
1550F3,0060C6,0066A9,006D73
665A14,665A1B,72561D,6C545B
F2D332,EED336,FFCB77,FFC3D2
0442EE,0057B4,005D9A,006469
86E014,E3C813,FEBD34,A2CFDF
B73AD6,0071EB,3B76C3,A4626A
5C4098,124FA3,155390,4C5359
442BFC,0057B3,005C99,006369
4B2CE9,0054AC,005993,005F65
5F082F,2D3243,39302D,5E1919
B36C68,847E70,947964,B36A72
261558,00264F,002944,192A2D
B46FA0,7983AB,878199,AE757E
DA1EC0,0076F5,6679AC,CE5156
B12047,5E5C5F,705940,AE2C2D
F3D2DB,DCD8DE,EFD2DA,F4D0E0
9BE0C6,D9D0BD,E8CACC,A3D9EB
27FE4E,F7DC47,FFD59E,79ECFF
1C3131,323132,343036,233438
B33DEF,0074F1,007BD5,9A6C74
265358,4D4D55,4E4C5B,2B545A
A858CC,3A76E5,517ABF,986F78
FD53D6,6894FF,8E95C4,F36F77
2116F8,004D9E,005287,00585C
DF5B9A,7D87B3,94858E,DA656C
06CEF5,B0BAE8,A8B9FD,00CFDF
DC21D2,0079FC,5E7DBD,CD585E
CCBC0C,D1B913,EBAF20,D8ADBA
43991E,97861F,A87F30,5E8D98
060910,101117,101117,0D1214
CE8978,A2987E,B59274,CF848E
CA2B7D,5D6CA0,786B70,C54043
3296D4,778BCC,688DD6,009CA8
034D5F,43475A,3F4762,004F56
A1C3F0,B3BDED,B6BBF2,99C6D6
C01DBE,006BDE,4D6EAA,B25055
F53262,848181,9D7C56,F33D3F
D9887E,A49B86,B89679,DA848E
895D96,5B6B9F,636B90,81666D
3AF9FA,E1DFEB,E4DCFF,8BF0FF
835FC9,386FD6,3A74C0,6F737C
2BF6A0,EAD793,FDCFAC,66EAFC
0FCD7C,C2B271,D3AA86,52C1D1
E12778,6C769D,88736A,DD3C3F
D0D72E,E8CE30,FFC45C,DFC7D6
1D4498,004896,004C82,005258
357B50,766D4C,806957,46747E
2C9F6E,968B66,A28676,4997A3
62D97F,D3C076,E6B889,7ECCDD
E3D785,E8D483,FFCB8E,EDCBDB
B62651,60606A,735D49,B33234
1BCB03,C5AE00,DCA52E,60BBCA
C76C17,938323,A77C13,CA646B
C9D7B2,DDD0AE,F0C9B5,D0CFDF
DACA2A,E0C62E,FBBC35,E7BBC9
9E1E38,56534D,654F33,9C2729
DC744E,9D9058,B2894A,DE6E76
E1EB2C,FEE12E,FFDBAC,F2DAEB
50C8F6,ACB8EC,A5B7FC,3ECBDC
129841,92833D,A07D4C,438D99
A747B6,326CD3,526FA9,9A5F66
CAB827,CCB52B,E6AC31,D5AAB7
F5EE9C,FFEA9B,FFE6D0,FFE3F3
6D9125,958527,A77E31,7B8690
0F5879,485273,41537B,005C63
80B5FA,9AAEF6,93AFFC,6DBDCC
75B8A9,AFA9A1,B9A5AE,7CB3C1
BE83DC,7996EA,8497D4,B1909B
0F8184,73737B,747189,1E7F89
1ED684,CBBA79,DCB28F,58CADA
E48729,B09C32,C69427,E87D86
E07E62,A3976C,B8905D,E27981
CF1C1A,75692F,866300,CE2220
152486,00336A,00375B,003B3E
1733A4,004186,004572,004A4E
225834,564F33,5E4C3B,32545B
440F02,2C270C,312500,461516
5AD9BA,CCC2AE,D7BDC2,6CD2E3
D43984,6875A4,827377,CF4A4E
9A882A,98872E,AA8031,A17E88
6AB347,B3A044,C69852,7FA6B3
5F851E,887921,98732B,6D7B84
0183D9,587BD2,3180D9,008C95
386F30,6E6330,795E39,496870
E85842,948752,A9803A,E8555B
69503D,5C5641,66523F,6B4E54
824C24,645A2C,705526,84494E
5EFAD4,EBE0C6,F8D9DE,92EFFF
FCA78A,C7BA91,DFB285,FFA1AC
FD60BE,8198E1,9F96AF,F67179
88D4FE,BEC7F7,BFC6FF,7FD7E8
AEBC01,C9B200,E2A820,BCADBA
E38892,A4A09D,B89A8C,E28791
6BEDD9,DED6CC,E8D1E2,79E7FA
1A796F,6F6B68,736974,2B767F
7A1ECF,0055B0,005A98,5B565D
0D4D2D,4B452D,514235,244A50
26DEB3,CFC3A5,DABDBD,51D6E7
A718DC,0065D1,006BB8,8F5A60
5A149A,003F83,004371,444045
688B45,8D8044,9C7A4C,73828C
0A8B21,867722,957131,3F808B
AC13D3,0065D1,006AB9,97555C
C4CD0F,DDC414,F8B927,D3BDCC
10DF8F,D3C283,E4BA9A,57D3E4
B0B0B0,B2AEAE,BFA9B0,B1ADBA
692F22,48422C,523F24,6A3134
4605B0,003D7D,00416B,00454B
EC9004,BAA414,D19B00,F1848E
D0B119,C9B220,E2A824,DAA3AF
30834D,7E7349,896E55,467B85
E5BC98,CFC29A,E5BA97,EAB4C2
401EB0,004084,004471,00494E
7D9F56,A29353,B38C5C,8895A0
A1EC53,F1D74E,FFCF8C,B9DCED
D2BF40,D4BD42,EDB346,DDB1BF
2111B7,003A78,003E66,004346
F52222,8B7D39,9F7609,F52725
AA6C13,88791D,9A7216,AD646B
D5A7E7,A5B4F0,B1B2E2,CCAEBB
C6D354,E1C952,FBBF5B,D4C4D4
CCBC06,D1B90E,EBAE1D,D8ADBA
5059DE,0065D3,006BB6,00747D
1A5956,525152,554F5B,25585F
623DC0,0056B2,005B9A,425D64
52656B,626169,675F6D,53656D
66AB76,A79A6F,B5947C,74A2AF
8A63AA,5971B3,5F72A3,7F6E77
04FD9F,F1DD91,FFD5B4,7AEEFF
FB9EC0,B5B7CD,CAB2B9,F9A0AC
A296A3,9897A3,A394A2,A095A0
538BE3,6587E0,4E8BE2,2998A4
A3FA96,FAE48D,FFDFC1,B9EDFF
287EEF,3F7BED,0082E0,008D96
64E080,DAC676,EEBE8A,82D3E4
ECACFE,AEBFFF,B7BEF8,E2B6C4
F24BF5,6092FF,6E94E1,E2757D
290501,1C1909,1F1700,2D0D0D
1E4786,2B4884,004B83,005257
7F0036,3C3F4F,4C3D32,7D1716
CFEDF2,E9E5EE,F7E0F6,D0EBFD
596913,6F6218,7C5D1F,636169
C0ECCC,EBE0C5,FDD9D1,C8E5F7
36FC25,F7DA21,FFD395,7CEAFC
2AC321,BDA820,D39F39,60B4C2
29BF33,B9A530,CE9C45,5DB1BF
B31621,645B35,73561A,B11E1D
F7EA4E,FFE66C,FFE1BC,FFDDE9
8DE504,E8CD00,FFC355,A9D4E4
FDED91,FFEB9E,FFE7D0,FFE4EF
7BCAF2,B4BDEA,B3BCF7,72CCDD
1B2E50,253150,1E3251,14363B
CEC411,D8BF17,F3B524,DBB5C3
82020C,48401E,523D00,810C05
5465A1,5166A0,4A679F,466E76
B450B0,5074CA,6775A4,A9636A
8710CD,0057B3,005C9B,6C5359
35AB43,A6943F,B78D4F,599FAB
1533AB,004288,004675,004B4F
9E4D78,5F6786,6E6571,99545A
8A9F13,A89418,BC8C25,97929E
17D119,CBB317,E2AA37,61C1D0
862EAF,0057B5,0E5CA0,755056
36DA26,D5BC24,EDB23F,6ECADA
C737E9,0079FB,377ED4,B3686F
48567D,4B567C,49577C,425C63
818233,8C7D35,9C773A,897982
1D6319,61571C,6C5226,365C64
9C3994,395FAF,546188,924E53
7D0B28,42403C,4E3D26,7B1818
BCB7C1,B8B6C0,C5B2C1,BBB5C3
EA7E4A,AA9A54,C09245,ED777F
4D4FE0,0060C7,0066AC,006E76
A7AE0F,BBA614,D29D23,B3A0AD
3BA0C6,8992BC,8392CA,2DA2AF
DC5DBB,6D89D9,8889AE,D36E76
F57FC8,94A4DF,ABA2BD,EF8993
2AF54F,EED448,FFCB81,73E4F6
52B35D,AE9E57,C09766,6BA7B5
5E5273,4F5775,535771,5A575E
6FF8D1,EBDFC4,F9D8DB,93EEFF
D3C94E,DCC44E,F6BB54,DFBBC9
53829C,757A96,75799E,4F838E
41539D,34569E,205A99,296068
3528C8,004793,004C7D,005156
F69608,C2AB18,DAA200,FC8A94
CD3A27,7C6F38,8D6A1F,CC3A3D
05FD71,F4DB66,FFD4A2,72EDFF
BFF339,FDE137,FFDBAC,D5E2F3
F83AA6,6D87D2,928695,F25458
6C8879,868075,907C7C,70848E
A883FD,6694FF,5B98F4,9098A4
E251C5,5D87EB,8088B5,D86971
1DC15B,B9A754,CB9F67,56B4C2
5FF5F1,E1DDE4,E7D9FB,86EEFF
D72B3D,797054,8C6B34,D53133
C228F2,0075F3,007BD7,AA666E
E55854,908665,A5804C,E5575D
709815,9C8A19,AF8327,7F8C97
530C13,302C22,372A16,541515
F018DF,3A83FF,6886C8,E15B61
670444,24355E,38353F,641D1F
347A14,796B17,876525,4B717A
776AE0,2F76EB,147CD7,59808A
3343A8,004C9E,005189,00575D
811BC4,0055AF,005998,685158
80B2B7,A8A7B0,B0A3BA,81AFBD
3BFE58,F7DD50,FFD6A2,80EDFF
7BE1AA,D9CB9F,EAC4B2,8DD7E8
DD59BF,6788DF,8488B1,D36C74
6AA58B,9F9784,AA9290,739FAB
0D169F,00336A,00375A,003B3E
51D96B,D3BE63,E8B676,76CBDB
F485A8,A3A5B8,B9A09F,F18892
2569D9,1B6AD9,0070BF,007981
8D1A2A,4E4A3C,5C4627,8B2223
75B631,B8A430,CD9B3F,89A8B5
3FADE5,8F9FDC,83A0E9,1AB2C1
38A58F,999285,A18E95,4A9FAC
4E1F83,003B7A,003E6A,3E3C40
D155B2,6481CF,7F81A5,C8676E
109418,8F7F19,9F782C,458893
BA21D9,006DE2,2672C3,A65B61
28BF4E,B8A548,CB9D5B,5AB2C0
316D0B,6D6010,795B1D,45656D
546FDB,3873DE,0078D1,21828C
6A4B94,3A589D,3E5B8D,5E5960
E38146,AA994F,BF9143,E67982
5E0306,352F16,3C2D00,5E0B09
C847F2,2D7FFF,3C85DE,B2727A
B8C243,CFB943,E8B04B,C5B4C2
8F8C4B,96884B,A7824F,96838D
A6E419,EBD019,FFC767,BDD3E3
2C3D06,423A0D,4A3713,363B3F
6FA55D,A59659,B58F64,7D9BA7
87A6CB,98A0C7,9B9FCC,80A8B6
D50212,766929,866400,D31300
D0F7D3,F8ECCD,FFE8E1,DCEFFF
3EF2B4,E5D5A6,F4CEBF,67E8FA
28907B,857F73,8C7C81,3C8B96
BD75D6,6A8DE8,788FCC,B0858F
649C16,9E8C19,B18429,76909B
4C7D30,7D7030,8B6B3A,5B747D
3B7946,766C43,81674D,4B727B
BA258C,4265B3,66657E,B24145
0D92BA,7984B0,7085BE,00949F
98CD9C,CCBE95,DDB7A1,A3C4D3
BC625C,827B67,947657,BB6067
C45F46,877C51,997642,C45C62
3CAD4E,A79749,B99059,5DA1AE
471A54,093063,1F324F,422B2F
4B75E7,3677E9,007DD9,008892
D72223,7A6E38,8C6816,D62726
DE9811,BAA51C,D29C13,E48C96
5D35F2,005CBD,0061A2,006970
663A19,4F4722,59431D,68393D
B0F1E3,EAE2DB,F8DCE9,B6ECFF
669676,938A70,9E857A,6F8F9B
42FCBC,EEDFAE,FFD7C7,89EFFF
6BF3B3,E9D9A7,FAD1BD,85E9FB
3FB49F,A7A094,AF9CA6,50AEBC
62F4DD,E4DBD0,EED6E7,7DEDFF
6E189E,004793,004B80,5C4348
D0B2D8,B3B9DC,C0B6D5,CBB4C2
B759FA,3782FF,2888E9,9E7D87
A78AA8,8C91AB,978EA5,A38C96
7E0995,004997,0F4C85,703C40
5416D7,004C9C,005085,00565D
5A4685,37508B,385280,505258
4224B9,00448D,004979,004E54
D642F8,3E84FF,4489E3,C1717A
EB65F0,6D98FF,7D99E0,DC818B
E7D91F,F0D523,FFCC7D,F5C9D8
33ED6E,E5CE64,FCC47C,6FDEF0
FB8129,B5A135,CD9922,FF7880
DB0B87,5670B6,7B6F77,D53739
1EA1EA,7C95E1,6697ED,00A7B4
0E40EE,0057B3,005C98,006368
B6C5F4,B9C3F3,BFC1F5,AEC9D8
921930,504C44,5E492C,902223
1F1E31,202535,202534,212629
37FB1C,F6D918,FFD291,7CE9FB
4C0205,2B2714,322506,4D0A08
7BE4DB,D5D0D0,DECBE2,83E0F1
111F72,002D5C,002F4F,003336
90AA79,ADA075,BD9A7D,98A1AE
083233,303033,312F38,133539
9F063C,505056,614D36,9C1C1B
8C8B94,8B8A93,948794,8B8A94
DA5A58,8B8268,9F7D51,D9595F
B4E0A0,E3D299,F8CAA5,C0D6E6
AC419F,4569BB,606A92,A2555B
1BCBB1,BAB3A4,C3AEB9,42C4D4
11035B,001E3D,002034,002224
4DCB7C,C3B373,D4AB85,6BBFCF
7AB990,B5A988,C3A395,85B1BF
4C40AE,004FA5,00548F,295960
DF5712,928223,A57B00,E05257
0F0A5F,002043,002339,002527
DB1F52,737070,896C47,D92E2E
19E28B,D7C57F,E9BD96,5CD6E7
3E31DF,0051A7,00568E,005C62
58618F,55628E,53638D,50676F
14BD41,B6A23C,CA9A50,55AFBD
D9133E,746D59,886834,D72221
66704A,746B4A,80674E,6C6A73
80187D,004897,384B71,77373B
CBE921,F7DB23,FFD496,DED8E9
9F69AA,677AB5,727AA3,96737B
49C907,C6AF00,DDA52E,72B9C8
AD881F,9E8C25,B18425,B37E87
8911E5,005CBE,0062A4,665C63
4591E0,6D8ADA,598DE0,009BA8
02C6E6,AAB2D9,A4B1ED,00C6D6
E3044B,76716B,8C6C40,E1201D
D2EBEE,E8E4EA,F7DFF1,D4E8FB
2A29C8,004691,004B7B,005054
6D0C76,003E81,23416A,643135
45D178,C9B76E,DBAF82,6AC5D4
9EA9E0,9AA8E0,9DA7DF,94AEBC
C10114,6A5F2A,795A00,BF1100
BE782E,978736,AA802F,C17078
505F61,5D5C5F,635A63,525E66
C7311D,766A2F,876412,C63234
4D7F0C,807211,906B20,5E757E
BCB8FE,A9BBFF,ACBBFC,B0C0CF
82D852,D9C24D,F1B85E,9AC9D9
79A165,A29561,B28E6A,8498A4
1A824D,7C7148,866C55,3A7A84
3908EF,004B9B,005084,00565A
203402,393207,3F2F0E,2B3337
4A47E4,005DC0,0062A5,006A71
EBCD32,E7CD36,FFC355,F7BECC
06A706,A18F00,B48727,4C99A6
478E40,8C7E3E,9A7849,5B848F
BE1D7F,4B64A6,6B6372,B83A3D
42797D,706F77,736D80,467781
4A0A74,003267,003559,3D3034
68D931,D7BF2F,F0B545,89C9D9
A98A87,948F89,A28B85,A98791
50EE43,E9CF3E,FFC66A,81DDEF
74CFE0,BDBFD6,C0BCE6,73CEDE
FD6611,A89523,BE8D00,FF5F65
2BA660,9E9059,AC8A69,4E9CA8
DD3B85,6E7AA6,897778,D84B4F
C8AA53,BEAB55,D5A356,CF9FAB
F08A54,B4A35D,CB9B50,F3828B
413A89,00448F,00487D,2E4B51
1D2958,172F5A,003155,0E3539
F85ABC,7A93E0,9992AD,F16C74
