true,prot,deut,trit
4A9488,8A8680,91828D,53909B
71C44A,C4AF46,D9A656,88B6C4
C922C0,006FE8,5773AD,BB5257
4F12DE,004C9C,005085,00565C
009D8A,8F8A80,958691,2D98A4
6B8069,807966,8B756C,707B85
8C1446,44495E,554740,892526
84DA0F,DDC30E,F7B831,9FC9D9
A7CAD9,C1C2D4,CBBEDC,A6C9D8
D78ED1,93A3DF,A3A2C9,CF96A2
7E267E,194B98,3C4D73,753D42
C7E1F0,DBDBEC,E7D6F3,C6E0F1
604E82,455686,48577E,58575E
7DFDF2,ECE7E6,F6E1FB,B4F2FF
A45650,726C5A,81674D,A3555B
B4F9AA,FAE7A1,FFE2CC,C6EDFF
55E95A,E4CC53,FCC269,80D9EB
C7E9CB,EADFC5,FCD8CF,CEE2F4
5A9A4C,998A49,A88354,6B909B
36BB4F,B5A249,C89A5B,5FAEBC
7D2B1E,4F482B,5A441E,7D2D30
232242,1E2946,1B2A43,222C2F
F321A5,5B80D9,877F93,EC484C
01775D,6E6857,756563,28727B
5BCE17,CCB416,E4AB34,7EBECD
36F0E5,DBD6D6,E1D1EF,4EEBFE
9DA8F9,90A9FB,8DABF7,8BB2C0
64D3AC,C8BDA1,D5B7B4,75CBDB
31C26C,BAA963,CBA176,5BB6C5
627361,746E5F,7D6A64,666F78
2A3159,27365B,223758,243A3F
329D0F,998811,AB8028,56909C
38844C,807548,8B7054,4C7C86
5CCB25,C9B224,E0A93B,7DBBCA
60995F,978A5A,A58565,6E909B
371968,002E60,003153,2A3135
3776ED,2C77EE,007DD7,008891
8B9D9A,9B9796,A5939B,8C9AA6
E45BFB,6292FF,6796E9,D27F88
06DAE6,C1C2D8,C1C0EF,1CD8EA
DE0A50,726F70,896B45,DB2422
0984D1,5E7BCA,417FD2,008B95
9E38DC,0069DA,006FC0,86646B
631829,383738,423529,622022
DE65DD,6090FE,7E92CE,D17C85
7581E3,5C85E6,4D89DF,5A909C
25EC13,E6CB0D,FFC149,71DAEC
E4B78A,CCBD8C,E3B689,E9AFBC
09E4CE,D1C9BF,D8C4D8,40DEF0
B710CB,0067D6,306CB5,A55258
4ADE65,D8C25D,EEB972,74CFE0
B0FD6C,FFE77E,FFE3C4,C9EDFF
7CC519,C8B11A,DFA731,93B6C4
A9E7EA,DDDAE2,E7D5EF,ABE4F6
C3F8D4,F7EACC,FFE6E0,D3F0FF
9F6EE9,4182FB,4887DE,88858F
BB5A26,837531,946F24,BC555B
B1FBE9,F3EBE0,FFE5EF,CDF2FF
D1B97F,CABA7F,E0B280,D8AFBD
94986D,9F936B,AF8D6F,9A909C
0D18E3,004691,004B7B,005054
22FB0B,F5D800,FFD18D,77E9FB
888094,7F8194,877F93,85808A
804CBD,0063CF,2468B1,6D646C
FA0B7E,737FAC,947B6E,F63435
94AF41,B7A340,CC9B4A,A1A2AF
64468B,375393,3A5585,59535A
DEBBAF,C9C0B1,DCBAAD,E0B6C4
06CF0F,C9B10B,E0A833,5EBFCE
20022A,00172F,001829,211415
8C851F,928224,A47B28,947B84
C48A4B,A49550,B88D4B,C8818B
